task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1	89/1e0260	237964	clone	CACHED	0	2023-02-07 13:59:13.447	11.8s	2s	17.7%	7.8 MB	408.9 MB	3.6 MB	26.3 KB
2	0c/f854eb	4610121.pbsha.ib.sockeye	list_commits	COMPLETED	0	2023-02-07 21:10:50.690	19.4s	251ms	0.0%	1.6 MB	110.8 MB	2.9 MB	3.1 MB
15	e9/d291ec	4610134.pbsha.ib.sockeye	benchmark (13)	FAILED	1	2023-02-07 21:11:11.357	53.8s	27.8s	100.0%	134.8 MB	659.3 MB	1.8 GB	3 GB
9	42/63ed87	4610136.pbsha.ib.sockeye	benchmark (7)	FAILED	1	2023-02-07 21:11:11.543	53.6s	27.9s	108.6%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
21	e5/d9af9a	4610151.pbsha.ib.sockeye	benchmark (19)	FAILED	1	2023-02-07 21:11:15.515	49.7s	27.9s	97.2%	99.7 MB	549.6 MB	1.8 GB	3 GB
50	20/141a25	4610167.pbsha.ib.sockeye	benchmark (48)	FAILED	1	2023-02-07 21:11:17.229	53.7s	27.1s	96.8%	194.9 MB	677.3 MB	1.8 GB	3 GB
60	57/1d56a7	4610183.pbsha.ib.sockeye	benchmark (58)	FAILED	1	2023-02-07 21:11:18.794	52.1s	29.3s	91.9%	6.6 MB	233.2 MB	1.8 GB	3 GB
64	43/4f9c5c	4610193.pbsha.ib.sockeye	benchmark (62)	FAILED	1	2023-02-07 21:11:19.663	51.2s	27.3s	101.5%	6.6 MB	233.2 MB	1.8 GB	3 GB
68	e4/3e39eb	4610194.pbsha.ib.sockeye	benchmark (66)	FAILED	1	2023-02-07 21:11:19.751	51.1s	24.5s	99.8%	259.5 MB	916.2 MB	1.8 GB	3 GB
97	2e/84bfc3	4610214.pbsha.ib.sockeye	benchmark (95)	FAILED	1	2023-02-07 21:11:21.531	49.4s	26.9s	97.9%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
98	80/bf492c	4610219.pbsha.ib.sockeye	benchmark (96)	FAILED	1	2023-02-07 21:11:21.999	48.9s	25.4s	94.7%	211.7 MB	681.5 MB	1.8 GB	3.1 GB
95	34/278278	4610220.pbsha.ib.sockeye	benchmark (93)	FAILED	1	2023-02-07 21:11:22.079	48.8s	26.2s	109.6%	177.6 MB	673.4 MB	1.8 GB	3.1 GB
52	ae/248f36	4610174.pbsha.ib.sockeye	benchmark (50)	FAILED	1	2023-02-07 21:11:17.911	57.2s	32.8s	87.2%	226.8 MB	746.3 MB	1.8 GB	3 GB
61	68/e61ad2	4610187.pbsha.ib.sockeye	benchmark (59)	FAILED	1	2023-02-07 21:11:19.149	56s	33.4s	104.0%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
58	47/573d91	4610188.pbsha.ib.sockeye	benchmark (56)	FAILED	1	2023-02-07 21:11:19.239	55.9s	33.2s	100.6%	222.2 MB	682.5 MB	1.8 GB	3 GB
100	63/cd0e3e	4610218.pbsha.ib.sockeye	benchmark (98)	FAILED	1	2023-02-07 21:11:21.916	53.3s	33.3s	91.9%	6.7 MB	233.2 MB	1.8 GB	3 GB
36	44/ce4aff	4610155.pbsha.ib.sockeye	benchmark (34)	FAILED	1	2023-02-07 21:11:15.892	1m 4s	41.2s	97.7%	173.8 MB	674.4 MB	1.8 GB	3 GB
35	df/996f06	4610156.pbsha.ib.sockeye	benchmark (33)	FAILED	1	2023-02-07 21:11:15.976	1m 4s	42.3s	90.2%	254 MB	949 MB	1.8 GB	3 GB
46	20/03d266	4610172.pbsha.ib.sockeye	benchmark (44)	FAILED	1	2023-02-07 21:11:17.660	1m 3s	32.9s	90.9%	251 MB	915.2 MB	1.8 GB	3.1 GB
80	a1/c6532a	4610199.pbsha.ib.sockeye	benchmark (78)	FAILED	1	2023-02-07 21:11:20.173	60s	39.4s	96.8%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
76	d9/65dc37	4610201.pbsha.ib.sockeye	benchmark (74)	FAILED	1	2023-02-07 21:11:20.333	59.8s	34.6s	102.7%	270.4 MB	994.1 MB	1.8 GB	3 GB
94	f3/e221d9	4610211.pbsha.ib.sockeye	benchmark (92)	FAILED	1	2023-02-07 21:11:21.245	58.9s	35s	87.7%	6.7 MB	233.2 MB	1.8 GB	3 GB
40	a7/894fdb	4610157.pbsha.ib.sockeye	benchmark (38)	FAILED	1	2023-02-07 21:11:16.060	1m 9s	47.5s	103.0%	6.6 MB	222.8 MB	1.8 GB	3 GB
39	94/2fa674	4610161.pbsha.ib.sockeye	benchmark (37)	FAILED	1	2023-02-07 21:11:16.680	1m 8s	39.4s	100.3%	255.2 MB	909.9 MB	1.8 GB	3 GB
69	ea/75c770	4610180.pbsha.ib.sockeye	benchmark (67)	FAILED	1	2023-02-07 21:11:18.490	1m 7s	40.9s	95.3%	6.7 MB	233.2 MB	1.8 GB	3 GB
104	ea/ccc423	4610223.pbsha.ib.sockeye	benchmark (102)	FAILED	1	2023-02-07 21:11:22.354	1m 3s	39.5s	95.7%	249.3 MB	908.5 MB	1.8 GB	3 GB
55	a8/1f3a13	4610178.pbsha.ib.sockeye	benchmark (53)	FAILED	1	2023-02-07 21:11:18.298	1m 32s	1m 3s	88.2%	471.9 MB	1.5 GB	1.9 GB	3 GB
111	4d/d8dbb4	4610230.pbsha.ib.sockeye	benchmark (109)	FAILED	1	2023-02-07 21:12:11.063	44.1s	25.9s	97.0%	204.1 MB	681.4 MB	1.8 GB	3.1 GB
10	3b/495ff0	4610125.pbsha.ib.sockeye	benchmark (8)	FAILED	1	2023-02-07 21:11:10.476	1m 50s	1m 28s	94.8%	877.3 MB	2.9 GB	2 GB	3 GB
12	f8/35aa20	4610126.pbsha.ib.sockeye	benchmark (10)	FAILED	1	2023-02-07 21:11:10.634	1m 50s	1m 24s	103.1%	849.7 MB	2.9 GB	2 GB	3 GB
31	17/d25661	4610139.pbsha.ib.sockeye	benchmark (29)	FAILED	1	2023-02-07 21:11:11.814	1m 48s	1m 17s	100.3%	196.2 MB	677.4 MB	1.8 GB	3 GB
81	a3/c374d1	4610205.pbsha.ib.sockeye	benchmark (79)	FAILED	1	2023-02-07 21:11:20.669	1m 44s	1m 26s	100.0%	925.7 MB	2.9 GB	2 GB	3 GB
6	1d/42cc6e	4610148.pbsha.ib.sockeye	benchmark (4)	FAILED	1	2023-02-07 21:11:15.231	1m 56s	1m 31s	100.9%	1.1 GB	3.5 GB	2 GB	3 GB
122	70/56f94e	4610248.pbsha.ib.sockeye	benchmark (120)	FAILED	1	2023-02-07 21:12:25.270	45.6s	25.5s	97.0%	196.2 MB	677.5 MB	1.8 GB	3 GB
13	75/8313da	4610132.pbsha.ib.sockeye	benchmark (11)	FAILED	1	2023-02-07 21:11:11.194	2m 4s	1m 34s	102.8%	1 GB	3.5 GB	2 GB	3 GB
22	03/873757	4610142.pbsha.ib.sockeye	benchmark (20)	FAILED	1	2023-02-07 21:11:12.058	2m 3s	1m 32s	78.6%	194.9 MB	677.3 MB	1.8 GB	3.1 GB
20	94/7f7193	4610145.pbsha.ib.sockeye	benchmark (18)	FAILED	1	2023-02-07 21:11:14.918	2m	1m 32s	110.4%	194.9 MB	677.3 MB	1.8 GB	3 GB
90	4d/161793	4610215.pbsha.ib.sockeye	benchmark (88)	FAILED	1	2023-02-07 21:11:21.618	1m 54s	1m 31s	102.1%	925.7 MB	2.9 GB	2 GB	3 GB
106	9f/6c7a3f	4610226.pbsha.ib.sockeye	benchmark (104)	FAILED	1	2023-02-07 21:12:05.458	1m 10s	37.4s	93.8%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
123	d0/23ece8	4610243.pbsha.ib.sockeye	benchmark (121)	FAILED	1	2023-02-07 21:12:20.439	54.8s	31.8s	116.1%	196.4 MB	677.5 MB	1.8 GB	3 GB
116	57/9f8830	4610244.pbsha.ib.sockeye	benchmark (114)	FAILED	1	2023-02-07 21:12:20.549	54.6s	32.4s	94.3%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
25	9d/45a850	4610154.pbsha.ib.sockeye	benchmark (23)	FAILED	1	2023-02-07 21:11:15.802	2m 4s	1m 40s	108.4%	889.1 MB	2.9 GB	2 GB	3 GB
48	cf/7792bd	4610164.pbsha.ib.sockeye	benchmark (46)	FAILED	1	2023-02-07 21:11:16.959	2m 3s	1m 41s	104.3%	968.9 MB	3 GB	2 GB	3 GB
70	3f/f97f36	4610195.pbsha.ib.sockeye	benchmark (68)	FAILED	1	2023-02-07 21:11:19.834	2m	1m 34s	101.1%	1013.5 MB	2.9 GB	2 GB	3 GB
117	ce/d2c30a	4610242.pbsha.ib.sockeye	benchmark (115)	FAILED	1	2023-02-07 21:12:20.361	59.8s	24.9s	93.8%	6.7 MB	233.2 MB	1.8 GB	2.9 GB
17	02/a29388	4610129.pbsha.ib.sockeye	benchmark (14)	FAILED	1	2023-02-07 21:11:10.907	2m 14s	1m 48s	105.1%	869.1 MB	2.9 GB	2 GB	3 GB
11	7a/8cc991	4610131.pbsha.ib.sockeye	benchmark (9)	FAILED	1	2023-02-07 21:11:11.086	2m 14s	1m 45s	96.7%	993.7 MB	3.2 GB	2 GB	3 GB
3	5b/a892dc	4610128.pbsha.ib.sockeye	benchmark (1)	FAILED	1	2023-02-07 21:11:10.818	2m 19s	1m 56s	108.3%	956.9 MB	3.5 GB	2 GB	3 GB
42	2f/78da2d	4610162.pbsha.ib.sockeye	benchmark (40)	FAILED	1	2023-02-07 21:11:16.768	2m 18s	1m 53s	102.4%	1.1 GB	3.5 GB	2 GB	3 GB
32	62/ca4d5e	4610153.pbsha.ib.sockeye	benchmark (30)	FAILED	1	2023-02-07 21:11:15.710	2m 24s	2m	106.9%	945.7 MB	3 GB	2 GB	3 GB
59	2b/432a93	4610179.pbsha.ib.sockeye	benchmark (57)	FAILED	1	2023-02-07 21:11:18.378	2m 22s	1m 52s	94.9%	872.9 MB	2.9 GB	3 GB	3 GB
135	5b/75f60f	4610254.pbsha.ib.sockeye	benchmark (133)	FAILED	1	2023-02-07 21:12:50.274	50s	28.6s	87.7%	194.9 MB	677.3 MB	1.8 GB	3.1 GB
87	1b/a78183	4610208.pbsha.ib.sockeye	benchmark (85)	FAILED	1	2023-02-07 21:11:20.954	2m 24s	2m 2s	100.3%	1.1 GB	3.5 GB	2 GB	3 GB
93	62/b865b6	4610212.pbsha.ib.sockeye	benchmark (91)	FAILED	1	2023-02-07 21:11:21.327	2m 24s	2m	93.2%	1.1 GB	3.5 GB	2.1 GB	3 GB
136	ea/2159ab	4610255.pbsha.ib.sockeye	benchmark (134)	FAILED	1	2023-02-07 21:12:55.266	49.9s	25.2s	101.2%	257.8 MB	912.4 MB	1.8 GB	3 GB
127	43/8a5b1c	4610257.pbsha.ib.sockeye	benchmark (125)	FAILED	1	2023-02-07 21:13:00.234	44.9s	27.3s	98.6%	6.6 MB	233.2 MB	1.8 GB	3 GB
92	59/716c55	4610224.pbsha.ib.sockeye	benchmark (90)	FAILED	1	2023-02-07 21:11:22.432	2m 38s	2m 11s	96.0%	1.1 GB	3.5 GB	2.1 GB	3 GB
103	35/56d550	4610227.pbsha.ib.sockeye	benchmark (101)	FAILED	1	2023-02-07 21:12:05.565	2m	1m 24s	103.6%	1.1 GB	3.2 GB	2 GB	3 GB
133	6d/3bb9c8	4610251.pbsha.ib.sockeye	benchmark (131)	FAILED	1	2023-02-07 21:12:25.596	1m 40s	1m 25s	94.6%	1 GB	3.5 GB	2 GB	3 GB
4	d9/30bf8d	4610133.pbsha.ib.sockeye	benchmark (2)	COMPLETED	0	2023-02-07 21:11:11.281	3m	2m 34s	99.8%	1.1 GB	3.5 GB	2.2 GB	3 GB
114	26/82a8ca	4610232.pbsha.ib.sockeye	benchmark (112)	FAILED	1	2023-02-07 21:12:11.231	2m	1m 39s	108.4%	1 GB	3 GB	2.1 GB	3 GB
129	78/8aacb9	4610272.pbsha.ib.sockeye	benchmark (127)	FAILED	1	2023-02-07 21:13:20.381	50.6s	27.4s	94.0%	6.6 MB	233.2 MB	1.8 GB	3 GB
53	49/5c055b	4610171.pbsha.ib.sockeye	benchmark (51)	COMPLETED	0	2023-02-07 21:11:17.587	3m 8s	2m 41s	107.4%	946.1 MB	3.2 GB	2.3 GB	3 GB
146	09/408443	4610281.pbsha.ib.sockeye	benchmark (144)	FAILED	1	2023-02-07 21:13:40.370	49.8s	24.9s	102.3%	252 MB	916.2 MB	1.8 GB	3 GB
126	a4/142df0	4610246.pbsha.ib.sockeye	benchmark (124)	FAILED	1	2023-02-07 21:12:23.604	2m 22s	1m 59s	111.4%	956.6 MB	3 GB	2 GB	3 GB
125	c2/b87e49	4610266.pbsha.ib.sockeye	benchmark (123)	FAILED	1	2023-02-07 21:13:15.582	1m 35s	41.3s	97.7%	6.7 MB	233.2 MB	1.8 GB	3 GB
105	2b/f3b94c	4610234.pbsha.ib.sockeye	benchmark (103)	COMPLETED	0	2023-02-07 21:12:11.409	2m 49s	2m 29s	97.7%	1 GB	3.5 GB	2.3 GB	3 GB
128	74/8669ba	4610283.pbsha.ib.sockeye	benchmark (126)	FAILED	1	2023-02-07 21:13:45.258	1m 20s	56s	97.8%	259.7 MB	916.2 MB	1.8 GB	3.1 GB
140	23/d59d15	4610265.pbsha.ib.sockeye	benchmark (138)	FAILED	1	2023-02-07 21:13:15.374	1m 56s	1m 29s	106.6%	922.8 MB	2.9 GB	2 GB	3 GB
147	be/1e1603	4610291.pbsha.ib.sockeye	benchmark (145)	FAILED	1	2023-02-07 21:14:05.282	1m 6s	24.1s	97.0%	6.6 MB	233.2 MB	1.8 GB	3 GB
137	3a/c6cefa	4610260.pbsha.ib.sockeye	benchmark (135)	FAILED	1	2023-02-07 21:13:05.264	2m 10s	1m 46s	96.3%	922.1 MB	3 GB	2 GB	3 GB
57	43/6b2b6c	4610177.pbsha.ib.sockeye	benchmark (55)	FAILED	1	2023-02-07 21:11:18.215	4m 2s	3m 35s	100.8%	1.6 GB	5.1 GB	2.5 GB	3 GB
118	f7/e39a85	4610239.pbsha.ib.sockeye	benchmark (116)	COMPLETED	0	2023-02-07 21:12:15.475	3m 5s	2m 33s	105.8%	1.1 GB	3.5 GB	2.2 GB	3 GB
134	7c/a32aae	4610274.pbsha.ib.sockeye	benchmark (132)	FAILED	1	2023-02-07 21:13:20.560	2m	1m 41s	108.7%	969.8 MB	3.2 GB	2 GB	3 GB
163	65/5975eb	4610301.pbsha.ib.sockeye	benchmark (161)	FAILED	1	2023-02-07 21:14:30.260	49.9s	23.9s	101.5%	6.6 MB	233.2 MB	1.8 GB	2.8 GB
43	36/ed7ef1	4610165.pbsha.ib.sockeye	benchmark (42)	FAILED	1	2023-02-07 21:11:17.044	4m 13s	3m 47s	106.1%	2 GB	6.7 GB	2.7 GB	3.1 GB
66	eb/9c4399	4610186.pbsha.ib.sockeye	benchmark (64)	FAILED	1	2023-02-07 21:11:19.054	4m 16s	3m 51s	104.8%	2 GB	6.7 GB	2.9 GB	3.1 GB
91	30/e37b70	4610222.pbsha.ib.sockeye	benchmark (89)	FAILED	1	2023-02-07 21:11:22.275	4m 13s	3m 49s	114.6%	1.6 GB	5.2 GB	2.9 GB	3.1 GB
168	a5/84a50d	4610303.pbsha.ib.sockeye	benchmark (166)	FAILED	1	2023-02-07 21:14:50.857	44.4s	26.3s	98.7%	211.5 MB	681.4 MB	1.8 GB	3.1 GB
18	25/2f25db	4610152.pbsha.ib.sockeye	benchmark (16)	FAILED	1	2023-02-07 21:11:15.626	4m 25s	4m 2s	99.4%	1.7 GB	5.2 GB	2.9 GB	3.1 GB
74	75/eb0b12	4610189.pbsha.ib.sockeye	benchmark (72)	FAILED	1	2023-02-07 21:11:19.324	4m 21s	3m 57s	97.2%	1.6 GB	5.2 GB	2.9 GB	3.1 GB
78	bc/a9f8a0	4610197.pbsha.ib.sockeye	benchmark (76)	FAILED	1	2023-02-07 21:11:20.003	4m 20s	3m 54s	99.8%	1.7 GB	5.7 GB	2.7 GB	3.1 GB
89	5a/d17dd7	4610216.pbsha.ib.sockeye	benchmark (87)	FAILED	1	2023-02-07 21:11:21.704	4m 18s	3m 57s	108.3%	1.7 GB	5.7 GB	2.9 GB	3.1 GB
165	19/50bd2e	4610300.pbsha.ib.sockeye	benchmark (163)	FAILED	1	2023-02-07 21:14:25.468	1m 15s	45.1s	86.8%	246.2 MB	906.8 MB	1.8 GB	3.1 GB
72	d6/b66b07	4610196.pbsha.ib.sockeye	benchmark (70)	FAILED	1	2023-02-07 21:11:19.923	4m 25s	4m 4s	100.3%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
154	a1/35f438	4610293.pbsha.ib.sockeye	benchmark (152)	FAILED	1	2023-02-07 21:14:11.074	1m 39s	1m 15s	88.3%	185.9 MB	674 MB	1.8 GB	3.1 GB
28	f4/11221b	4610144.pbsha.ib.sockeye	benchmark (26)	FAILED	1	2023-02-07 21:11:12.237	4m 43s	4m 18s	123.6%	994.6 MB	3.5 GB	2 GB	3 GB
37	9b/8137ce	4610166.pbsha.ib.sockeye	benchmark (35)	FAILED	1	2023-02-07 21:11:17.134	4m 38s	4m 11s	100.7%	1.9 GB	6.7 GB	2.9 GB	3.1 GB
41	47/21f243	4610163.pbsha.ib.sockeye	benchmark (39)	FAILED	1	2023-02-07 21:11:16.876	4m 43s	4m 15s	98.2%	2 GB	6.7 GB	2.9 GB	3.1 GB
38	f6/000393	4610158.pbsha.ib.sockeye	benchmark (36)	FAILED	1	2023-02-07 21:11:16.145	4m 59s	4m 36s	113.8%	1.6 GB	5.6 GB	2.9 GB	3.1 GB
14	73/2d8918	4610130.pbsha.ib.sockeye	benchmark (12)	FAILED	1	2023-02-07 21:11:11.004	5m 9s	4m 43s	101.3%	2 GB	6.7 GB	2.9 GB	3.1 GB
33	25/dab67c	4610160.pbsha.ib.sockeye	benchmark (31)	FAILED	1	2023-02-07 21:11:16.299	5m 4s	4m 40s	101.7%	2.3 GB	7.4 GB	2.9 GB	3.1 GB
86	ba/bf1e76	4610206.pbsha.ib.sockeye	benchmark (84)	COMPLETED	0	2023-02-07 21:11:20.764	4m 59s	4m 40s	97.9%	1.6 GB	5.1 GB	3 GB	3.1 GB
82	02/979f27	4610203.pbsha.ib.sockeye	benchmark (80)	FAILED	1	2023-02-07 21:11:20.501	5m 5s	4m 41s	105.3%	2 GB	6.7 GB	2.9 GB	3.1 GB
181	01/6996ba	4610319.pbsha.ib.sockeye	benchmark (179)	FAILED	1	2023-02-07 21:15:35.503	49.7s	28.2s	105.2%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
121	55/c0efba	4610249.pbsha.ib.sockeye	benchmark (119)	FAILED	1	2023-02-07 21:12:25.353	4m 6s	3m 50s	102.9%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
24	7d/ad778b	4610150.pbsha.ib.sockeye	benchmark (22)	COMPLETED	0	2023-02-07 21:11:15.428	5m 20s	4m 57s	101.8%	2 GB	6.7 GB	3 GB	3.1 GB
108	b4/9531e3	4610229.pbsha.ib.sockeye	benchmark (106)	FAILED	1	2023-02-07 21:12:10.978	4m 24s	4m 5s	105.8%	1.9 GB	6.3 GB	2.7 GB	3.1 GB
175	6e/150cc9	4610313.pbsha.ib.sockeye	benchmark (173)	FAILED	1	2023-02-07 21:15:20.568	1m 25s	55s	80.9%	211.5 MB	681.4 MB	1.8 GB	3.1 GB
65	89/a1141c	4610176.pbsha.ib.sockeye	benchmark (63)	COMPLETED	0	2023-02-07 21:11:18.085	5m 32s	5m 6s	101.1%	1.7 GB	5.7 GB	3 GB	3.1 GB
62	9e/675e73	4610182.pbsha.ib.sockeye	benchmark (60)	COMPLETED	0	2023-02-07 21:11:18.657	5m 32s	5m 9s	102.4%	1.6 GB	5.1 GB	3 GB	3.1 GB
73	9f/9af16e	4610191.pbsha.ib.sockeye	benchmark (71)	COMPLETED	0	2023-02-07 21:11:19.490	5m 31s	5m 3s	98.2%	1.6 GB	5.1 GB	3 GB	3.1 GB
75	9e/9bb546	4610192.pbsha.ib.sockeye	benchmark (73)	COMPLETED	0	2023-02-07 21:11:19.573	5m 31s	5m 4s	97.0%	1.9 GB	6.2 GB	3 GB	3.1 GB
99	cd/03c1f9	4610217.pbsha.ib.sockeye	benchmark (97)	COMPLETED	0	2023-02-07 21:11:21.832	5m 28s	5m 6s	98.3%	1.6 GB	5.2 GB	3 GB	3.1 GB
8	63/7be086	4610137.pbsha.ib.sockeye	benchmark (6)	COMPLETED	0	2023-02-07 21:11:11.629	5m 44s	5m 16s	113.2%	2 GB	6.8 GB	3 GB	3.1 GB
49	88/e5c276	4610168.pbsha.ib.sockeye	benchmark (47)	COMPLETED	0	2023-02-07 21:11:17.313	5m 38s	5m 8s	98.1%	1.6 GB	5.1 GB	3 GB	3.1 GB
47	88/c6c137	4610169.pbsha.ib.sockeye	benchmark (45)	COMPLETED	0	2023-02-07 21:11:17.393	5m 38s	5m 9s	102.4%	1.6 GB	5.1 GB	3 GB	3.1 GB
44	d7/850614	4610181.pbsha.ib.sockeye	benchmark (43)	COMPLETED	0	2023-02-07 21:11:18.572	5m 37s	5m 12s	99.0%	1.6 GB	5.1 GB	3 GB	3.1 GB
63	70/95bfa2	4610190.pbsha.ib.sockeye	benchmark (61)	COMPLETED	0	2023-02-07 21:11:19.410	5m 36s	5m 10s	102.0%	1.6 GB	5.1 GB	3 GB	3.1 GB
71	d7/6b695a	4610200.pbsha.ib.sockeye	benchmark (69)	FAILED	1	2023-02-07 21:11:20.250	5m 40s	5m 11s	96.9%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
54	5b/701256	4610173.pbsha.ib.sockeye	benchmark (52)	COMPLETED	0	2023-02-07 21:11:17.733	5m 53s	5m 24s	98.2%	1.5 GB	5.2 GB	3 GB	3.1 GB
101	34/e41117	4610221.pbsha.ib.sockeye	benchmark (99)	FAILED	1	2023-02-07 21:11:22.197	5m 53s	5m 30s	114.9%	2 GB	6.7 GB	3.4 GB	3.1 GB
130	4d/ab3afd	4610275.pbsha.ib.sockeye	benchmark (128)	FAILED	1	2023-02-07 21:13:25.233	3m 50s	3m 34s	103.2%	1.8 GB	6.2 GB	2.9 GB	3.1 GB
144	ae/1d62b4	4610276.pbsha.ib.sockeye	benchmark (142)	FAILED	1	2023-02-07 21:13:25.320	3m 55s	3m 37s	107.7%	1.9 GB	6.3 GB	2.7 GB	3.1 GB
188	4b/1faf9a	4610327.pbsha.ib.sockeye	benchmark (186)	FAILED	1	2023-02-07 21:15:55.294	1m 30s	48.6s	92.5%	6.7 MB	222.8 MB	1.8 GB	3 GB
195	18/11a42d	4610339.pbsha.ib.sockeye	benchmark (193)	FAILED	1	2023-02-07 21:16:25.452	59.7s	39s	99.2%	208.5 MB	679.1 MB	1.8 GB	3 GB
112	03/ad162e	4610237.pbsha.ib.sockeye	benchmark (110)	FAILED	1	2023-02-07 21:12:15.327	5m 15s	4m 31s	104.4%	1.5 GB	5.1 GB	2.8 GB	3.1 GB
124	c2/e52a35	4610250.pbsha.ib.sockeye	benchmark (122)	COMPLETED	0	2023-02-07 21:12:25.427	5m 5s	4m 45s	109.0%	1.6 GB	5.2 GB	3 GB	3.1 GB
164	49/a8bf43	4610306.pbsha.ib.sockeye	benchmark (162)	FAILED	1	2023-02-07 21:15:11.004	2m 19s	1m 56s	101.5%	1.1 GB	3.5 GB	2 GB	3 GB
205	d1/40233a	4610349.pbsha.ib.sockeye	benchmark (203)	FAILED	1	2023-02-07 21:16:52.469	37.7s	25.3s	99.7%	6.6 MB	233.2 MB	1.8 GB	2.8 GB
142	fb/77d81c	4610264.pbsha.ib.sockeye	benchmark (140)	FAILED	1	2023-02-07 21:13:15.291	4m 20s	3m 54s	102.9%	2 GB	6.7 GB	2.9 GB	3.1 GB
