task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
166	4e/54a3d2	4610310.pbsha.ib.sockeye	benchmark (164)	COMPLETED	0	2023-02-07 21:15:20.299	5m 53s	5m 21s	104.6%	1.5 GB	5.7 GB	3 GB	3.1 GB
167	f1/735e2c	4610302.pbsha.ib.sockeye	benchmark (165)	FAILED	1	2023-02-07 21:14:45.309	6m 30s	5m 43s	102.6%	2 GB	6.8 GB	2.7 GB	3.1 GB
174	c6/2e6391	4610312.pbsha.ib.sockeye	benchmark (172)	FAILED	1	2023-02-07 21:15:20.470	6m 5s	5m 38s	100.9%	2.3 GB	7.8 GB	2.9 GB	3.1 GB
177	42/633acd	4610317.pbsha.ib.sockeye	benchmark (175)	FAILED	1	2023-02-07 21:15:35.319	5m 50s	5m 19s	107.8%	1.8 GB	6.1 GB	2.9 GB	3.1 GB
156	5f/f2cc56	4610282.pbsha.ib.sockeye	benchmark (154)	COMPLETED	0	2023-02-07 21:13:40.459	7m 50s	7m 25s	103.3%	1.8 GB	6.3 GB	3.7 GB	3.1 GB
276	7c/44dcec	4610425.pbsha.ib.sockeye	benchmark (274)	FAILED	1	2023-02-07 21:19:42.223	1m 48s	1m 30s	106.5%	982.8 MB	2.9 GB	2 GB	3 GB
308	ae/2ad08c	4610458.pbsha.ib.sockeye	benchmark (306)	FAILED	1	2023-02-07 21:20:40.317	49.9s	27.5s	97.2%	226.1 MB	747.2 MB	1.8 GB	3 GB
176	ff/dee42b	4610311.pbsha.ib.sockeye	benchmark (174)	FAILED	1	2023-02-07 21:15:20.383	6m 15s	5m 45s	102.5%	2 GB	6.8 GB	2.9 GB	3.1 GB
279	92/fdcd77	4610432.pbsha.ib.sockeye	benchmark (277)	FAILED	1	2023-02-07 21:19:46.646	1m 49s	1m	97.4%	271.6 MB	993 MB	1.8 GB	3 GB
277	82/c817f5	4610436.pbsha.ib.sockeye	benchmark (275)	FAILED	1	2023-02-07 21:19:50.457	1m 55s	1m 30s	106.7%	949.2 MB	3 GB	2 GB	3 GB
169	4c/e082e0	4610304.pbsha.ib.sockeye	benchmark (167)	FAILED	1	2023-02-07 21:15:00.256	6m 50s	6m 29s	101.0%	2 GB	6.8 GB	2.8 GB	3.1 GB
216	a2/7cc7bb	4610366.pbsha.ib.sockeye	benchmark (214)	FAILED	1	2023-02-07 21:17:30.249	4m 20s	4m 6s	100.1%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
215	bc/98b2b3	4610368.pbsha.ib.sockeye	benchmark (213)	FAILED	1	2023-02-07 21:17:30.417	4m 20s	4m 3s	98.8%	2 GB	6.8 GB	2.9 GB	3.1 GB
278	c6/cdd008	4610433.pbsha.ib.sockeye	benchmark (276)	FAILED	1	2023-02-07 21:19:46.744	2m 8s	1m 34s	104.6%	922.5 MB	2.9 GB	2 GB	3 GB
23	cc/1f717e	4610141.pbsha.ib.sockeye	benchmark (21)	FAILED	143	2023-02-07 21:11:11.973	10m 48s	10m 30s	101.0%	2 GB	6.8 GB	3.3 GB	3.1 GB
30	0e/6d6050	4610143.pbsha.ib.sockeye	benchmark (28)	FAILED	143	2023-02-07 21:11:12.162	10m 48s	10m 30s	97.9%	2 GB	6.8 GB	3.2 GB	3.1 GB
314	25/1c8da4	4610470.pbsha.ib.sockeye	benchmark (312)	FAILED	1	2023-02-07 21:21:13.379	51.8s	26.6s	94.0%	186.6 MB	677.3 MB	1.8 GB	3 GB
299	d3/9b9ac1	4610453.pbsha.ib.sockeye	benchmark (297)	FAILED	1	2023-02-07 21:20:30.289	1m 45s	1m 4s	105.6%	194.9 MB	677.3 MB	1.8 GB	3 GB
179	e0/6bc590	4610323.pbsha.ib.sockeye	benchmark (177)	FAILED	1	2023-02-07 21:15:40.493	6m 40s	6m 3s	109.1%	1.5 GB	5.2 GB	2.7 GB	3.1 GB
